,batch_size,lr,optimizer,acc,num_epochs
0,10,0.001,Adagrad,0.6200000047683716,22
1,10,0.001,Adam,0.9990000128746033,55
2,10,0.001,RMSprop,1.0,40
3,10,0.001,SGD,0.6540000438690186,24
4,10,0.01,Adagrad,1.0,169
5,10,0.01,Adam,1.0,33
6,10,0.01,RMSprop,0.9990000128746033,319
7,10,0.01,SGD,0.9990000128746033,187
8,10,0.1,Adagrad,1.0,25
9,10,0.1,Adam,0.5,298
10,10,0.1,RMSprop,0.5,8
11,10,0.1,SGD,1.0,35
12,10,1.0,Adagrad,0.5,8
13,10,1.0,Adam,0.5,8
14,10,1.0,RMSprop,0.5,8
15,10,1.0,SGD,0.6570000052452087,142
16,10,10.0,Adagrad,0.5,8
17,10,10.0,Adam,0.45899999141693115,9
18,10,10.0,RMSprop,0.5,8
19,10,10.0,SGD,0.5,11
20,107,0.001,Adagrad,0.6690000295639038,30
21,107,0.001,Adam,1.0,100
22,107,0.001,RMSprop,1.0,102
23,107,0.001,SGD,0.5889999866485596,33
24,107,0.01,Adagrad,0.9990000128746033,296
25,107,0.01,Adam,1.0,29
26,107,0.01,RMSprop,1.0,39
27,107,0.01,SGD,0.6139999628067017,24
28,107,0.1,Adagrad,1.0,30
29,107,0.1,Adam,0.6570000052452087,1000
30,107,0.1,RMSprop,0.5,1000
31,107,0.1,SGD,1.0,161
32,107,1.0,Adagrad,0.5,1000
33,107,1.0,Adam,0.5,1000
34,107,1.0,RMSprop,0.49400001764297485,697
35,107,1.0,SGD,1.0,55
36,107,10.0,Adagrad,0.5,1000
37,107,10.0,Adam,0.5,1000
38,107,10.0,RMSprop,0.5,1000
39,107,10.0,SGD,0.5,1000
40,205,0.001,Adagrad,0.6209999918937683,36
41,205,0.001,Adam,1.0,175
42,205,0.001,RMSprop,1.0,122
43,205,0.001,SGD,0.5900000333786011,101
44,205,0.01,Adagrad,0.9980000257492065,392
45,205,0.01,Adam,1.0,33
46,205,0.01,RMSprop,1.0,44
47,205,0.01,SGD,0.6410000324249268,35
48,205,0.1,Adagrad,1.0,48
49,205,0.1,Adam,1.0,57
50,205,0.1,RMSprop,0.5,1000
51,205,0.1,SGD,0.9850000143051147,250
52,205,1.0,Adagrad,0.5,355
53,205,1.0,Adam,0.5649999976158142,1000
54,205,1.0,RMSprop,0.5299999713897705,1000
55,205,1.0,SGD,1.0,74
56,205,10.0,Adagrad,0.5,1000
57,205,10.0,Adam,0.503000020980835,1000
58,205,10.0,RMSprop,0.574999988079071,437
59,205,10.0,SGD,0.7239999771118164,1000
60,302,0.001,Adagrad,0.6290000081062317,53
61,302,0.001,Adam,1.0,152
62,302,0.001,RMSprop,1.0,187
63,302,0.001,SGD,0.43699997663497925,56
64,302,0.01,Adagrad,0.9990000128746033,459
65,302,0.01,Adam,1.0,36
66,302,0.01,RMSprop,1.0,47
67,302,0.01,SGD,0.6139999628067017,59
68,302,0.1,Adagrad,1.0,54
69,302,0.1,Adam,1.0,60
70,302,0.1,RMSprop,0.5,1000
71,302,0.1,SGD,1.0,383
72,302,1.0,Adagrad,0.5,1000
73,302,1.0,Adam,0.5,1000
74,302,1.0,RMSprop,0.5,1000
75,302,1.0,SGD,1.0,97
76,302,10.0,Adagrad,0.5,1000
77,302,10.0,Adam,0.5,1000
78,302,10.0,RMSprop,0.42100000381469727,1000
79,302,10.0,SGD,0.6069999933242798,1000
80,400,0.001,Adagrad,0.5900000333786011,39
81,400,0.001,Adam,1.0,188
82,400,0.001,RMSprop,1.0,238
83,400,0.001,SGD,0.5609999895095825,116
84,400,0.01,Adagrad,0.9980000257492065,431
85,400,0.01,Adam,1.0,59
86,400,0.01,RMSprop,1.0,62
87,400,0.01,SGD,0.5859999656677246,37
88,400,0.1,Adagrad,1.0,59
89,400,0.1,Adam,0.9990000128746033,87
90,400,0.1,RMSprop,0.5,9
91,400,0.1,SGD,1.0,429
92,400,1.0,Adagrad,0.5,9
93,400,1.0,Adam,0.5,9
94,400,1.0,RMSprop,0.5,9
95,400,1.0,SGD,1.0,112
96,400,10.0,Adagrad,0.5,9
97,400,10.0,Adam,0.5,9
98,400,10.0,RMSprop,0.5,9
99,400,10.0,SGD,0.6579999923706055,1000
